country,1950_to_1974,1975_to_1999,2000_to_2020
United States Minor Outlying Islands,17,204303,202334
Suriname,13,1346573,179245
Mali,446,35431,92468
South Georgia And The South Sandwich Islands,1863,220834,83220
Guinea,,64405,82900
Turkey,38959,46330,64660
Guyana,,202041,59853
Austria,93365,47192,56433
Saint Helena,3871,75775,39877
Antarctica,7436,22412,35424
France,28685,26886,30571
Mexico,52439,69208,26314
Argentina,5,28700,25041
Netherlands,24531,41899,24570
Denmark,29507,42009,18998
Hungary,602,13560,15573
Botswana,260,6171,15335
Iran,2399,7572,14671
United States of America,160281,265534,13539
British Indian Ocean Territory,2250,17865,13044
Thailand,1828,49232,12270
Heard Island And McDonald Islands,842,4118,11761
China,237,19199,11353
Falkland Islands,951,9476,10756
Belgium,4691,5160,9309
French Southern and Antartic Lands,12849,10241,9281
Japan,901,6116,9227
Spain,20412,9425,8930
Chile,6790,9754,8809
Finland,6157,4828,8364
Zambia,,5030,8000
New Zealand,130106,44114,7933
United Kingdom,5259,42798,7540
Germany,12777,97064,7113
South Korea,30,5715,6738
Sweden,1155,4457,6683
Ecuador,21327,4511,6028
South Africa,72386,6019,5655
United Arab Emirates,,13182,4565
Bahamas,,795,3393
Romania,4388,3222,2944
Tunisia,220,2062,2912
Russia,39187,18552,2770
Algeria,430,189,2574
Seychelles,49,325,2437
Estonia,6981,6345,2275
Portugal,1050,1478,2269
Poland,2299,4072,2157
Ukraine,7800,1298,2109
Canada,4764,4048,1986
Morocco,9506,1421,1982
Bulgaria,3479,3199,1872
Bangladesh,,,1670
Norway,7891,2047,1624
Uruguay,,686,1393
New Caledonia,,710,1348
Greece,1368,609,1270
Senegal,415,11444,1210
Cyprus,531,1406,1119
Uzbekistan,,,1047
Indonesia,,283,840
Lesotho,,1110,815
Montenegro,815,849,785
Namibia,260,3326,745
Italy,263,874,696
Ireland,1502,1405,657
Israel,,153,633
Cape Verde,,,622
Taiwan,,283,598
India,11,151,562
Singapore,,,556
Iceland,34204,12086,510
Turkmenistan,154,580,496
Uganda,329,275,462
Australia,15387,657,439
Cambodia,,,417
Peru,2100,6635,407
Azerbaijan,55500,25497,334
United States Virgin Islands,,,333
Lithuania,28,5324,326
Costa Rica,,74,255
Antigua And Barbuda,21,9,254
Macedonia,680,10,248
Cook Islands,720,55,244
Malaysia,787512,334833,211
Myanmar,,,178
Colombia,2010000,82,174
Hong Kong,,101,171
Czechia,23,114,165
Norfolk Island,,46,160
Kenya,,44916,144
Mauritius,22,45,137
Serbia,44,24,126
Switzerland,159,136,124
Bermuda,61,,112
Brazil,2305,115,104
Croatia,87,146,95
Slovakia,83,64,79
Slovenia,230,213,71
Malta,100,66,64
Greenland,12325,5560,51
Vietnam,,49,48
Pakistan,272,68,45
Jordan,13377,,38
Nepal,,,31
Latvia,2346,2357,30
Cameroon,300,1603,26
Puerto Rico,180,509,14
Nicaragua,,,13
Albania,352,91,3
Mozambique,,856,3
Sierra Leone,,,3
Ghana,,1867,2
Kiribati,,,1
Belarus,11,11,
Benin,,950,
Bolivia,850,55154,
Cayman Islands,,1145,
Djibouti,2,2617,
Dominica,,400,
Egypt,62800,11514,
Ethiopia,,507055,
French Polynesia,2855,1575,
Guatemala,200,87,
Madagascar,,36,
Mauritania,,35260,
Niger,17400,412,
Nigeria,,13078,
Saint Lucia,1000,213,
Swaziland,,3,
Syria,,68,
United Republic of Tanzania,300,2640,
Venezuela,,1350,
Zimbabwe,,409,
