Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2017,2019
Albania,,,,,,246.6666667,69,,,46,,,60,,,,146,161,77,118,56,53.18181818,42,22,0,0,0,3,,,,,,,,,,,,,,,,,
Algeria,0.15,0,0,250.3333333,0,0.46,0,0,0,0,0.25,0,0,0,0,4.573333333,0,105,73,374.5,27.125,2,578,186,348,,,3792,4256.4,4789.5,4910,4214.4,2253,2089.5,2387.666667,3382.25,930.25,,,,,,,,
Antarctica,22440.71429,22679,12430.25,11630.675,10170.11111,8060.029412,14918.25714,12089.13793,29313.03571,17903.36585,24715.12821,38540.98,42536.78378,33601.47917,16203.19048,21724.60377,16983.18367,29963.60377,16389,11224.41818,11962.92,14659.63158,26513.5122,33122.53704,26820.43243,15522.91667,8205.673913,13730.5,9645.870968,19872.42105,34933.06897,36219.19355,35717.4,36208.35294,48860.4,51372.52941,52928.07692,70898.8,86892,3194.6,2833.5,,,,
Antigua And Barbuda,,,,,,,,,,,,,,,,,,,,,12,,14,26,11.2,32,93.66666667,,34,105,,272.4,422.6666667,153.3333333,46,459.6666667,,,,,,,,,
Argentina,,1525,,,,,,,,,,,185,1653.666667,1685.25,5337,820.2306667,4904.0657,3591.44456,1664.33544,1577.3676,1833.3948,3500.717057,43343.20765,2197.810571,7191.620178,4780.2234,4375.30946,1295.982511,1893.665857,4569.125371,4296.860543,5736.223,5868.688367,7085.91188,70513.5,7095.333333,,,,,,,,
Australia,923.6495833,1853.362917,1096.352692,2469.483462,1051.178333,11620.64897,1300.638589,1338.804036,636.8848418,564.1563965,402.1023226,734.5288792,912.4862451,581.9970045,484.0552305,535.2750431,449.3517309,295.8451855,198.4973564,195.8501221,170.3883936,538.5916644,639.4561489,575.2165642,549.7881122,691.9777853,227.6676917,371.735311,374.5549168,429.1146257,336.5015163,456.4752367,330.2200649,366.8670869,134.8128349,141.6878166,137.2260739,113.783054,166.2481656,116.8862963,146.1782827,156.7277575,,56.28208873,
Austria,78128.52941,114810.5294,77768.66667,87036.33333,71570.77778,68806.75,78614.10828,67066.49513,82559.76855,64637.4826,52938.51159,61316.1389,52423.00232,55012.94514,59393.53908,58653.52518,52232.06525,58204.99442,55016.97038,59713.9863,60507.86991,81932.41016,73249.73116,60503.17606,67081.0533,60549.38018,58274.90832,57165.64728,1470.248315,2794.965006,3458.818566,2254.414262,109.9780234,99.45884038,89.33146013,105.9393279,117.0571047,120.4787913,105.2235537,112.8060587,121.9652757,111.170476,115.1120917,124.221416,114.9025563
Azerbaijan,,,,,,,,,,,,,,,,,3520,,,,25000.5,136,210,1100,,334,,,,,,,,,,,,,,,,,,,
Bahamas,,625,,,,,,,,,,351,,1203,1001,,,,,,,,,,,,,1586,3963.5,3525,788,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.352941,2984.894737,1470.666667,2098.055556,464,,,,,,,
Belarus,,,,,,,,,,,,,,,12,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1600.666667,1582.75,2392.5,2177.25,15538.5,4759.333333,5685.25,10897.5,4995,7845.666667,15700.5,21419,13658.75,10845.75,9693.4,4516.285714,8490.4,7689.285714,9110.889917,12165.4112,8207.979813,10768.31322,14166.31317,10084.54338,11809.19404,8773.788457,15883.71775,16185.59265,17545.55288,0.9868,0.4501,0.7668,0.2852,0.7687,0.8547,0.9248,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,436.5,1461.75,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,96,82,102,116,122,110,126,138,,,,,,,,,,,,
Bolivia,,,,,,,,,,,75000,,,,,,,,,,,,40773,64067,,,,,,,,,,,,,,,,,,,,,
Botswana,685,,,,,815,,,,,,,,,12000,655,,,,,,2364.5,1030,,10628,29478.33333,19374,5284,2957,6206,18362.5,57173,16089,13890,40894.5,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,179.3333333,257.0909091,171.2981081,246.0870968,123.8239583,98.88541667,232.015625,17.04086176,53.97386471,435.72,282.1432432,134.8740663,161.1237202,569.4809524,803.2375,56.32368421,11.15,48.99122807,237.7118605,62.76166667,111.3833333,151.4,21.2875,59.14285714,,,
British Indian Ocean Territory,,,,,,,,,,,,,,,,,,,,,,17864.5,,,,,,,,,,13043.5,,,,,,,,,,,,,
Bulgaria,143,459.5,400.4444444,769,3148.666667,1610.636364,862.539663,3572.975168,1197.298336,1461.044861,2547.368084,94.07431825,2436.988211,536.0586757,5422.6583,5048.538706,10062.42794,11354.77465,14877.2568,9594.010569,2491.384182,68.13687467,12641.57266,111.3348437,170.3852147,111.7889113,374.6194579,385.4028224,87.1027104,6301.431936,2457.142108,3611.965201,421.6963093,55.1165562,37.6669858,75.427537,93.17270833,71.62673867,70.92005967,91.96057967,80.883058,87.87863033,62.27781433,93.40808933,82.88520733
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,178.4323864,230.3654095,531.8652636,617.5199818,11.43504,12.45368667,36.82066875,31.9885625,11.82208667,27.78335,43.00866875,8.78618,7.96986,,,
Cameroon,,,53,,,,,,,,,,,,,,53,,,,,1276.434783,2064.434783,,,,,,40,,,18,20,,,,,,,,,,,,
Canada,2584.618224,1663.528511,2923.15463,2232.528179,2840.603208,433.7729939,471.638943,350.706971,504.0022808,715.7655623,746.9293823,478.1308683,440.3321427,475.3350075,640.1868859,647.1251278,671.788371,639.3694603,1180.901379,1112.618431,1185.513646,1299.005678,1536.780846,1679.130692,1281.163158,1080.578319,1555.152005,1016.18421,1163.283569,1335.564139,1277.447922,1516.875424,1469.897628,1368.243595,1433.140645,1323.094084,1368.470555,1574.351615,1627.827804,7.746975721,21.81744533,,,77832,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,133,100,80,57,132,140,159,184,193,486,1558,1546,1314,1170,900,908,,1514,
Cayman Islands,,,,,,,,,330,800,,2950,,,,,400,2000,,400,1019,183.1666667,1280.666667,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,11000,,300,3080,25850,5500,200,400,6506.5,5638.5,3304,0,6802,5612,6795,3505.583333,9522.15625,9404.902778,12286.625,18674.51667,8775.5,17755,21531,13847.14286,15687.8,17297.33333,18846.5,10797,2233.75,5443,,,,,,,,,
China,,,,,,,228.5,207.5,472,671,724.5,905,1100.5,1150.5,1661.666667,36734.33333,1279.666667,1361.5,1039,1408.8,1147.75,25098.14286,3581.5,572,12182.63077,7198.236429,2644.55625,1674.462,4383.415,12294.785,11637.15056,14157.74857,5610.895,17609,13976.33333,14653,7571.6,2264.5,1206.5,2633,,,,,
