Year,Albania,Algeria,Antarctica,Antigua And Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Benin,Bermuda,Bolivia,Botswana,Brazil,British Indian Ocean Territory,Bulgaria,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Chile,China,Colombia,Cook Islands,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Djibouti,Dominica,Ecuador,Egypt,Estonia,Ethiopia,Falkland Islands,Finland,France,French Polynesia,French Southern and Antartic Lands,Germany,Ghana,Greece,Greenland,Guatemala,Guinea,Guyana,Heard Island And McDonald Islands,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,Kenya,Kiribati,Latvia,Lesotho,Lithuania,Macedonia,Madagascar,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norfolk Island,Norway,Pakistan,Peru,Poland,Portugal,Puerto Rico,Romania,Russia,Saint Helena,Saint Lucia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Georgia And The South Sandwich Islands,South Korea,Spain,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Thailand,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States Minor Outlying Islands,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe,(blank)
1975,,0.15,22440.71429,,,923.6495833,78128.52941,,,,,1600.666667,,,,685,,,143,,,2584.618224,,,,,,,,108,,44,32571.51542,,,72.5,,17000,5056800,,11857.08333,59842.78383,550,970.085,1669.841064,,,,,,,,,,11594.52143,,,6308,6000,,4.251501429,2502,,,,,1206,,,,,,,,25.5,125108.8567,14.57142857,47.66666667,400,,35,,8021.25,,118,,,,,351.2160759,470,,82.40482963,1300.165,2067.75,6000,14916.08333,,,,,269.5,,,,,662.6583333,,,4681.09027,,10,498.8234842,66,,,,305,120,430,533.3333333,2872.142857,,4957.764235,,,40798.8224,,,,,,,,
1976,,0,22679,,1525,1853.362917,114810.5294,,625,,,1582.75,,,,,,,459.5,,,1663.528511,,,,,,,,298,,40.66666667,45190.01222,,,63,,25000,,,8108.635135,55068.02676,,752.36,1025.12595,,,,200,,,,,,422.2,,,17,7000,,0.746484286,1278.5,,,,,,,,,,,,,24.5,113603.613,,79.66666667,,,,,36164.84178,,94.66666667,,,,,1709.387011,,,93.63767407,99.858775,200,5500,12927.5,,,,,46,,,27,,5350.986,1389.333333,,5337.08,,,369.4265228,76,,,,295,65000,,,2724.5,,6379.142535,,,32938.60285,,,,,,,,
1977,,0,12430.25,,,1096.352692,77768.66667,,,,,2392.5,,,,,,,400.4444444,,53,2923.15463,,,,,,,,552.5,,43,43746.89625,,350,71,,,,,9951.875,61559.54081,,592.4688889,852.3741545,,,,,,,,,,3461.87892,,,17,7000,,114.6660506,1109.333333,,547.5,,,,,,,,,,,26.5,103128.8319,2052,30,,,,,40450.70411,,111.3333333,,,,,1463.408506,,300,79.42962963,159.398225,18,1000,12573.625,,100,,20,38.5,,,33.5,,2884.184615,9834.4,,3052.930233,,,749.1369674,90,,,,666,76,,,3397.444444,,6607.439589,,25,46216.70664,,,,,,,,
1978,,250.3333333,11630.675,,,2469.483462,87036.33333,,,,,2177.25,,,,,,,769,,,2232.528179,,,,,,,,201,,47.66666667,247408.4706,5600,,53,,74,,,6850.630435,52549.16976,,1037.04,763611.1533,,,,,,,,,3600,494.743225,,,,4974.5,,132.4472325,933.5,,,,,,,,,,,,,11,140792.6557,,22.5,,,2097.9,,38548.21256,,132,,,,24,1826.597386,,,75.48111852,794.6092143,19,4250,9812.666667,,,,,118,,,37.25,,3554.4,17109.4,,4928.583333,,,776.66034,106,,,,,3427.333333,,,1975,,146254.4801,,5,41663.55216,,,,,,,,
1979,,0,10170.11111,,,1051.178333,71570.77778,,,,,15538.5,,,,,,,3148.666667,,,2840.603208,,,,,,,,112,,46,190489.1875,,,81.33333333,21516.64286,9913,,,11323.05319,41785.12838,,667.865,1003203.574,,325,80,,,,,,,550.125675,,,,5500,,172.064555,1017.5,,,,,,,,,,,,55111.11111,7.5,127376.28,,0,,,8672,,32663.66332,,126,,,,,4146.416842,,275,81.28375,896.8222875,25,200,11124.5,,,,26,38,,,39,150,4642.741935,9238.5,,3929.726415,,,790.7043347,120,,,,,75,,,1003.666667,,138861.162,,,43394.17444,,,,,,,,
1980,246.6666667,0.46,8060.029412,,,11620.64897,68806.75,,,,,4759.333333,,,,815,,,1610.636364,,,433.7729939,,,,,,,,452,7000,62.75,85391.17431,,,988.2,18128.23077,,,,5498.217742,46315.00925,,814.9111111,603233.0497,,,36,60,,,608,,19,15354.58563,,,7712.5,11950,,102.3333333,2013.5,,,,100,1244,,,,,,,52842.33333,7.5,116319.3033,,40,400,,205.3333333,,37634.31812,,399,,,,,6213.925294,,,90.54096316,1232.827636,18,1463.333333,24234.54545,,,,17,38,,,47.11111111,,15298.92364,6579.571429,,5070.949208,,0,682.6487262,305,,,,660,68,1344.5,,1357.214286,,138494.7499,,,299692.3873,,,,,,,,
1981,69,0,14918.25714,,,1300.638589,78614.10828,,,,,5685.25,,,,,,,862.539663,,,471.638943,,,11000,228.5,,,,545,10300,63.63560075,131259.5389,,,227.25,,16488.5,,,6818.224427,45508.91756,,11108.17647,784577.2489,,127.5,,,,,,,19,537.8919,,,1,10050,,132.8393132,2195,,,,116.01997,,,,,,,,,7.5,132953.7648,3000,40.83333333,,,,,46829.59685,,300285.5,,,,,4338.163134,,14050,88.06500389,783.2719444,119.5,430.9607192,13949.58333,,,,,108.3333333,,,49.45802567,4.5,3146.972381,7039.142857,,3075.077921,,,630.2331499,146,,,,,67,10,,2017.631579,,131695.5852,,,41606.17928,,,,,,,,
1982,,0,12089.13793,,,1338.804036,67066.49513,,,,,10897.5,,,,,,,3572.975168,,,350.706971,,,,207.5,,,,642,7500,75.9163075,106298.9144,,,72.66666667,,6887.5,,,7888.061201,39452.16259,,535.2723077,341292.5323,,1832.4,,,,202041,,,341.5,654.4462444,,,1,8400,,145.7226373,3113.333333,,,,104.8023355,,,,,,,,,9.5,147940.3076,,454,,,,,35253.47016,,398.3333333,,,,,3591.619917,,,93.82719433,1280,1479.2,196.7537485,13454.91667,,,,16,121,,,50.833537,5,3630.4,7884.833333,,4356.426736,1346573,,771.6046284,162,,,,,108,2,146.2,2318.133333,,124108.0518,,,35071.05029,,,,,,,,
1983,,0,29313.03571,,,636.8848418,82559.76855,,,,,4995,,,,,,,1197.298336,,,504.0022808,,330,300,472,,21,,788.5,8027,76.53785663,114287.9031,,,164,,3128.136364,,,3450.562695,36452.45279,,473.0506667,300008.5892,,654.3,,,,,2860,,738.7057063,4295.7166,,,14,6307.5,,285.923476,1796.5,,195,,84.9563905,,,,,,,,,10,123076.1325,22,302.5652174,,,,,44880.93578,,4543.75,,,,,2866.430199,734,5630,88.52405924,2222.4,,1016.78557,12893.57143,,,,18,160.5,,,55.5203536,5,2556.965053,8835.333333,,5069.754649,,,836.5952783,182,,,,,115.1428571,,151,754.9459459,,128038.0716,,,39853.27963,,,,,,,,
1984,46,0,17903.36585,,,564.1563965,64637.4826,,,,,7845.666667,,,,,,,1461.044861,,,715.7655623,,800,3080,671,,,,72,8180,70.61448888,101217.8622,,,367,,2588.714286,,,6756.706082,38611.73294,,487.8773333,269801.5007,,634.1304348,,,,,,,1027.22446,724.20108,,,2,6937.29845,,222.8692839,3062,,,,1285.571668,,,,,,,,,14,116970.1215,45.28571429,183.4166667,,,,,48035.32214,,25637,,,,,4035.305996,127.5,,83.16356018,7900,39.5,953.6756759,15003.63636,,,,18,172.5,,,56.3347577,8,3208.353696,8480.166667,,4947.60393,,,806.2224186,220,,,,100,69.125,87,55,580.2222222,,125816.8027,,,35617.72913,,,,,,,,
1985,,0.25,24715.12821,,,402.1023226,52938.51159,,,,,15700.5,,,75000,,,,2547.368084,,,746.9293823,,,25850,724.5,,,,47.33333333,7000,68.24899288,65144.75352,1500,,390.4,,2304.025449,,,6499.179924,24846.5375,,3111.987368,206967.2964,,289.5185185,28500,,,,739.2,,1058.602671,11301.60622,284,,12170.5,11094,,2564.060306,1565.666667,,581,,42.91131025,,,,,,,,,14,94449.6719,,183.1176471,,,1079,,45284.30908,,5587.666667,,,,,4387.580094,120,147,80.70828162,2333.12,137.5,810.661105,21135.38462,,,,14.33333333,175.5,,,54.2810417,11.5,14488.11171,8130.166667,,5638.101748,,,1460.233974,218,,,,10325,111.3333333,1048,71.925,561.8536585,,115230.8817,,,39605.0113,,,,,,14000,,
1986,,0,38540.98,,,734.5288792,61316.1389,,351,,,21419,,,,,,,94.07431825,,,478.1308683,,2950,5500,905,,,,81.83333333,4500,65.65620557,93001.1828,,,349,1000,2638.853655,,,7494.129331,31994.55609,,12772.08091,276505.6743,,734.6206897,,,,,787.5,,19252.1222,545.824325,199.7142857,,2,9749.333333,,222.5592644,3300.180725,,312,,43.41727675,,,,,,,,,12,,16,171.1632653,,,1062.5,,46922.40598,,5959.666667,,400,,,6309.112313,325,,78.51512546,2572.504,200.6666667,1715.961832,14033.66667,,,,29,2655,,,48.57467255,9.5,1725.151619,261024.3333,,2846.182383,,,921.5466631,240,,,,140,5157.470588,,,1261.65,,83959.11429,,38,37526.37451,,,,,,,,
1987,60,0,42536.78378,,185,912.4862451,52423.00232,,,,,13658.75,,,,,,,2436.988211,,,440.3321427,,,200,1100.5,,37.83333333,,301.4285714,1030,63.92788663,58896.32954,,,88,,2047.622349,,,10392.92252,28061.3024,,8212.494815,203751.276,,904.2727273,172000,,60910,,1435.166667,,16911.71099,22443.09946,144.25,,1,7919.068275,,308.9442458,6191.53386,,,,48.820591,,5293.5,,,,,,,15,,28,172.78,,,,,55584.67478,,20043.83333,,,,,2072.953911,366.5,,183.5047428,2669.67074,119.5,831.7040829,11853.69231,,,,16,1007,,,54.91688755,10.5,2247.418182,7379.333333,,3223.555706,,,313.2894382,268,,,,2575,7834.558824,,163,828.5,,84919.26191,712,,44503.963,,,,,,,,
1988,,0,33601.47917,,1653.666667,581.9970045,55012.94514,,1203,,,10845.75,,,,,,,536.0586757,,,475.3350075,,,400,1150.5,,35.675,,224.1428571,10240,91.54945233,64198.72548,,,88,,597.5832359,,30000,7110.851126,30583.63212,,5495.024743,132958.9626,,1825.916667,15.42857143,,,,33148,,14149.76642,486.56,5,,63,9423.25,,189.688295,5931.58075,,,,44.0319945,,3633,,,,,,,18.33333333,79354.93905,141.25,356.9591837,,,713.4285714,,41786.75055,,6755.666667,,,,,3606.73376,143,,278.6382887,2354.08796,111.5,378.7890621,11259.92308,,,,21.75,630.5,,,53.96555045,15,2586.635405,7803.333333,,3399.896306,,,554.5902894,148.5,,,,,184.4444444,6,16,826.7826087,,89003.43639,,,55741.54608,,,,,,,,
1989,,0,16203.19048,,1685.25,484.0552305,59393.53908,,1001,,12,9693.4,,,,12000,,,5422.6583,,,640.1868859,,,6506.5,1661.666667,,28.58,,127,1200,116.7387653,68665.44093,,,491.75,,2788.703122,,13320,8093.258391,34285.22878,,7372.845346,194365.6408,,958.8214286,13.4,,,,,,10210.07615,3719.214411,221.6,,41,8194.03525,,359.8839627,8866.12844,,253,,42.84103075,,4129.5,,,610000,,,,28,,2686,175.72,,,,,43973.34366,,4680,,,,,4313.03351,62.33333333,,302.6820654,2464.4827,202.5,1521.247952,9175.285714,447.5,,,12.66666667,851,,,61.99587527,21.33333333,2324.099444,8682.166667,,5250.668394,,,383.9151963,163,,,,,9137.471698,,,956.6521739,,86029.00784,6058,,42083.74729,,,,800,,,,
1990,,4.573333333,21724.60377,,5337,535.2750431,58653.52518,,,,10,4516.285714,,,,655,,,5048.538706,,,647.1251278,,,5638.5,36734.33333,,38.995,,126.25,1037.333333,132.6027702,52842.75327,,350,73.5,6205.5,4735.53882,,5927.2,4302.386905,29904.19816,0,2294.095074,165951.0223,1.658163,670.9333333,15.63636364,,,,339,56,13946.79725,16209.23851,118.6153846,,25903.5,930.125,410,354.4379597,8842.54264,,542.6666667,,44.8854255,880,4080.5,,,298000,,66,,26,,42,883.7666667,25,,20,,21922.28059,,9488.769231,,1600,,,839.7655156,38,,296.6763907,5649.28,124.5,2073.065686,10467.81818,350000,325,,13.66666667,725.75,,,66.76573218,17.33333333,9347.948,9790.625,6,6048.29197,,0,1342.768224,97.53702,,150,,206,6126.778113,61.66666667,41.5,573.1724138,,74359.32678,428,42,47030.84567,,,,,62,,,
