year,average,sum
1950-01-01,1389.12,118075
1951-01-01,425.04,26777.57
1952-01-01,860.2,62794.55
1953-01-01,917.01,61439.55
1954-01-01,505.9,37942.3
1955-01-01,1064.25,83011.44
1956-01-01,13970.68,1606628.02
1957-01-01,1870.64,123462.44
1958-01-01,1368.78,135509.13
1959-01-01,3313.3,374403.06
1960-01-01,5068.37,831212.94
1961-01-01,18695.19,2841669.03
1962-01-01,35872.49,6098323.25
1963-01-01,10845.07,1930421.96
1964-01-01,21557.58,4289958.6
1965-01-01,23607.06,5004696.78
1966-01-01,18532.52,4633130.65
1967-01-01,142640.74,51065385.32
1968-01-01,15396.36,5065400.97
1969-01-01,16246.39,5702482.11
1970-01-01,6585.14,11135466
1971-01-01,5797.42,9299060.42
1972-01-01,5595.1,9159174.35
1973-01-01,5476.02,9769214.83
1974-01-01,8139.23,15961036.95
1975-01-01,10250.72,21803271.97
1976-01-01,7706.66,16407484.01
1977-01-01,8535.89,18727743.22
1978-01-01,20036.96,45363680.83
1979-01-01,21538.32,51455053.05
1980-01-01,31483.9,81134018.1
1981-01-01,18641.87,54620673.1
1982-01-01,16158.45,49412555.11
1983-01-01,14359.42,47012743.18
1984-01-01,14009.9,47157315.51
1985-01-01,12836.45,44503959.47
1986-01-01,14839.62,50009531.3
1987-01-01,12891.76,44205855.53
1988-01-01,13397.4,47587571.22
1989-01-01,13466.78,49692405.52
1990-01-01,12871.25,51536468.08
1991-01-01,22075.06,87019884.98
1992-01-01,22931.4,99361750.76
1993-01-01,22513.3,107613563.3
1994-01-01,13057.99,65041831.11
1995-01-01,10082.18,57186135.72
1996-01-01,11065.37,59487420.33
1997-01-01,10861.34,63875535.54
1998-01-01,5278.76,31260841.47
1999-01-01,5606.17,31265627.28
2000-01-01,5419.33,30993170.94
2001-01-01,4698.01,25204843.51
2002-01-01,3816.89,21847850.87
2003-01-01,2163.76,11946141.76
2004-01-01,2131.71,11210681.55
2005-01-01,2413.24,13038749.6
2006-01-01,2291.68,12269671.03
2007-01-01,2093.46,10306110.2
2008-01-01,1893.16,10058341.23
2009-01-01,1365.48,7377688.13
2010-01-01,1400.18,7290736.29
2011-01-01,1096.71,5799413.43
2012-01-01,1265.58,6673380.75
2013-01-01,1308.56,5963109.91
2014-01-01,268.12,1177855.66
2015-01-01,429.14,1170685.5
2016-01-01,399.66,1009532.3
2017-01-01,95.18,205114.28
2018-01-01,65.95,18333.18
2019-01-01,107.13,17462.1
