year,average,sum
1/1/75,10250.72,21803271.97
1/1/76,7706.66,16407484.01
1/1/77,8535.89,18727743.22
1/1/78,20036.96,45363680.83
1/1/79,21538.32,51455053.05
1/1/80,31483.9,81134018.1
1/1/81,18641.87,54620673.1
1/1/82,16158.45,49412555.11
1/1/83,14359.42,47012743.18
1/1/84,14009.9,47157315.51
1/1/85,12836.45,44503959.47
1/1/86,14839.62,50009531.3
1/1/87,12891.76,44205855.53
1/1/88,13397.4,47587571.22
1/1/89,13466.78,49692405.52
1/1/90,12871.25,51536468.08
1/1/91,22075.06,87019884.98
1/1/92,22931.4,99361750.76
1/1/93,22513.3,107613563.3
1/1/94,13057.99,65041831.11
1/1/95,10082.18,57186135.72
1/1/96,11065.37,59487420.33
1/1/97,10861.34,63875535.54
1/1/98,5278.76,31260841.47
1/1/99,5606.17,31265627.28
1/1/00,5419.33,30993170.94
1/1/01,4698.01,25204843.51
1/1/02,3816.89,21847850.87
1/1/03,2163.76,11946141.76
1/1/04,2131.71,11210681.55
1/1/05,2413.24,13038749.6
1/1/06,2291.68,12269671.03
1/1/07,2093.46,10306110.2
1/1/08,1893.16,10058341.23
1/1/09,1365.48,7377688.13
1/1/10,1400.18,7290736.29
1/1/11,1096.71,5799413.43
1/1/12,1265.58,6673380.75
1/1/13,1308.56,5963109.91
1/1/14,268.12,1177855.66
1/1/15,429.14,1170685.5
1/1/16,399.66,1009532.3
1/1/17,95.18,205114.28
1/1/18,65.95,18333.18
1/1/19,107.13,17462.1
