,id,scientific_name,class,order,family,genus,species,common_name,country,region,system
0,1,Balearica_regulorum,Aves,Gruiformes,Gruidae,Balearica,regulorum,Grey-crowned crane,Uganda,Africa,Terrestrial
1,2,Acrocephalus_sechellensis,Aves,Passeriformes,Acrocephalidae,Acrocephalus,sechellensis,Seychelles warbler,Seychelles,Africa,Terrestrial
2,3,Copsychus_sechellarum,Aves,Passeriformes,Muscicapidae,Copsychus,sechellarum,Seychelles magpie-robin,Seychelles,Africa,Terrestrial
3,4,Copsychus_sechellarum,Aves,Passeriformes,Muscicapidae,Copsychus,sechellarum,Seychelles magpie-robin,Seychelles,Africa,Terrestrial
4,5,Falco_punctatus,Aves,Falconiformes,Falconidae,Falco,punctatus,Mauritius kestrel,Mauritius,Africa,Terrestrial
5,6,Pternistis_ochropectus,Aves,Galliformes,Phasianidae,Pternistis,ochropectus,Djibouti francolin,Djibouti,Africa,Terrestrial
6,7,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,Botswana,Africa,Terrestrial
7,8,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,Lesotho,Africa,Terrestrial
8,9,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,Mozambique,Africa,Terrestrial
9,10,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,Namibia,Africa,Terrestrial
10,11,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
11,12,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
12,13,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
13,14,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
14,15,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
15,16,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
16,17,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
17,18,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
18,19,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,South Africa,Africa,Terrestrial
19,20,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,Swaziland,Africa,Terrestrial
20,21,Gyps_africanus,Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,Uganda,Africa,Terrestrial
21,22,Leptoptilos_crumenifer,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,Marabou,Uganda,Africa,Terrestrial
22,23,Leptoptilos_crumenifer,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,Marabou,Uganda,Africa,Terrestrial
23,24,Necrosyrtes_monachus,Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,Hooded vulture,Uganda,Africa,Terrestrial
24,25,Psittacula_eques,Aves,Psittaciformes,Psittacidae,Psittacula,eques,Echo parakeet,Mauritius,Africa,Terrestrial
25,26,Torgos_tracheliotos,Aves,Accipitriformes,Accipitridae,Torgos,tracheliotos,Lappet-faced vulture,Uganda,Africa,Terrestrial
26,27,Trigonoceps_occipitalis,Aves,Accipitriformes,Accipitridae,Trigonoceps,occipitalis,White-headed vulture,Uganda,Africa,Terrestrial
180,181,Apteryx_australis,Aves,Struthioniformes,Apterygidae,Apteryx,australis,Southern brown kiwi,New Zealand,Oceania,Terrestrial
181,182,Apteryx_australis,Aves,Struthioniformes,Apterygidae,Apteryx,australis,Southern brown kiwi,New Zealand,Oceania,Terrestrial
182,183,Apteryx_australis,Aves,Struthioniformes,Apterygidae,Apteryx,australis,Southern brown kiwi,New Zealand,Oceania,Terrestrial
183,184,Apteryx_haastii,Aves,Struthioniformes,Apterygidae,Apteryx,haastii,Great spotted kiwi,New Zealand,Oceania,Terrestrial
184,185,Apteryx_owenii,Aves,Struthioniformes,Apterygidae,Apteryx,owenii,Little spotted kiwi,New Zealand,Oceania,Terrestrial
185,186,Callaeas_cinereus,Aves,Passeriformes,Callaeidae,Callaeas,cinereus,South Island kokako,New Zealand,Oceania,Terrestrial
